0,1,2,3,4,5
In Approach/Take-off/Circling Area and at AD,,,,,
1,2,3,4,5,6
RWY/Area affected,Obstacle type,Coordinates,Elevation,Marking/LGT,Remarks
In circling area and at AD,TREE,230358.6N 0723711.2E,247 FT,NIL,Group of trees
In circling area and at AD,WALL,230524.6N 0723850.2E,204 FT,NIL,Airport BDRY Wall with F/T
In circling area and at AD,TREE,230518.7N 0723857.3E,234 FT,NIL,Group of trees
In circling area and at AD,ANTENNA,230513.8N 0723837.7E,243 FT,NIL,GP main antenna
In circling area and at AD,TREE,230507.2N 0723847.2E,259 FT,NIL,Group of trees
In circling area and at AD,TREE,230526.5N 0723905.0E,239 FT,NIL,Group of trees
In circling area and at AD,TREE,230503.5N 0723842.9E,253 FT,NIL,Group of trees
In circling area and at AD,OTHER,230524.0N 0723901.7E,216 FT,NIL,OHWT on house
In circling area and at AD,TREE,230521.5N 0723859.0E,231 FT,NIL,Tree
In circling area and at AD,OTHER,230406.4N 0723724.4E,201 FT,NIL,Wind Sock
In circling area and at AD,TOWER,230304.2N 0723739.2E,368 FT,NIL,Chimney
In circling area and at AD,TOWER,230223.8N 0723657.1E,414 FT,NIL,Chimney
In circling area and at AD,TOWER,230422.4N 0723538.1E,487 FT,NIL,NTPC Chimney
In circling area and at AD,TOWER,230416.8N 0723522.5E,473 FT,NIL,NTPC Chimney (Group)
In circling area and at AD,TOWER,230431.3N 0723540.8E,487 FT,NIL,NTPC Chimney (Group)
In circling area and at AD,TOWER,230643.5N 0723845.8E,440 FT,NIL,H.T. Pylon mast
In circling area and at AD,TOWER,230643.5N 0723910.4E,441 FT,NIL,H.T. Pylon mast
In circling area and at AD,TOWER,230537.4N 0724025.9E,375 FT,NIL,Group of Chimney
In circling area and at AD,TOWER,230310.6N 0723740.9E,369 FT,NIL,Chimney
In circling area and at AD,TOWER,230243.2N 0723712.0E,354 FT,NIL,Chimney
In circling area and at AD,TOWER,230256.1N 0723721.6E,354 FT,NIL,Chimney
In circling area and at AD,TOWER,230233.7N 0723710.2E,356 FT,NIL,Chimney
In circling area and at AD,TOWER,230241.6N 0723702.3E,344 FT,NIL,Chimney
In circling area and at AD,TOWER,230233.5N 0723657.9E,378 FT,NIL,Chimney
In circling area and at AD,TOWER,230225.5N 0723651.8E,397 FT,NIL,Chimney
In circling area and at AD,TOWER,230416.8N 0723534.9E,490 FT,NIL,NTPC Chimney
In circling area and at AD,TOWER,230415.1N 0723533.8E,497 FT,NIL,NTPC Chimney
